fid;ra_cira;ra_nome;ra_codigo;ra_path;ra_areakm2;shape_Leng;shape_Area;auxiliary_storage_labeling_positionx;auxiliary_storage_labeling_positiony;auxiliary_storage_labeling_lineanchorpercent;auxiliary_storage_labeling_lineanchorclipping;auxiliary_storage_labeling_lineanchortype;auxiliary_storage_labeling_lineanchortextpoint;fid_count;id_count;Name_count;description_count;timestamp_count;begin_count;end_count;altitudeMode_count;tessellate_count;extrude_count;visibility_count;drawOrder_count;icon_count;parada_count;descricao_count;situacao_count;estrutura_de_paragem_count;tipo_count
17;25;SCIA;RA-XXV;https://www.geoservicos.ide.df.gov.br/anexos/monografia/SCIA.pdf;738.658.677;0;0;177.445.244.486.552;825.270.802.973.751;;;;;51;51;51;51;51;51;51;51;51;51;51;0;51;51;51;51;51;51
33;26;SOBRADINHO II;RA-XXVI;https://www.geoservicos.ide.df.gov.br/anexos/monografia/SOBRADINHO_II.pdf;18.135.209.354;0;0;185.691.177.023.993;827.167.201.223.848;;;;;173;173;173;173;173;173;173;173;173;173;173;0;173;173;173;173;173;173
27;27;JARDIM BOTÂNICO;RA-XXVII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/JARDIM_BOTANICO.pdf;29.142.756.159;0;0;;;;;;;146;146;146;146;146;146;146;146;146;146;146;0;146;146;146;146;146;146
20;28;ITAPOÃ;RA-XXVIII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/ITAPOA.pdf;3.430.156.776;0;0;;;;;;;35;35;35;35;35;35;35;35;35;35;35;0;35;35;35;35;35;35
18;29;SIA;RA-XXIX;https://www.geoservicos.ide.df.gov.br/anexos/monografia/SIA.pdf;290.508.958;0;0;;;;;;;144;144;144;144;144;144;144;144;144;144;144;0;144;144;144;144;144;144
19;30;VICENTE PIRES;RA-XXX;https://www.geoservicos.ide.df.gov.br/anexos/monografia/VICENTE_PIRES.pdf;4.287.803.559;0;0;;;;;;;161;161;161;161;161;161;161;161;161;161;161;0;161;161;161;161;161;161
25;31;FERCAL;RA-XXXI;https://www.geoservicos.ide.df.gov.br/anexos/monografia/FERCAL.pdf;15.438.003.353;0;0;;;;;;;52;52;52;52;52;52;52;52;52;52;52;0;52;52;52;52;52;52
35;32;SOL NASCENTE E POR DO SOL;RA-XXXII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/SOL_NASCENTE_POR_DO_SOL.pdf;4.049.166.396;0;0;;;;;;;65;65;65;65;65;65;65;65;65;65;65;0;65;65;65;65;65;65
21;33;ARNIQUEIRA;RA-XXXIII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/ARNIQUEIRA.pdf;1.335.849.745;0;0;;;;;;;73;73;73;73;73;73;73;73;73;73;73;0;73;73;73;73;73;73
11;34;ARAPOANGA;RA-XXXIV;https://www.geoservicos.ide.df.gov.br/anexos/monografia/ARAPOANGA.pdf;2.198.581.644;0;0;;;;;;;30;30;30;30;30;30;30;30;30;30;30;0;30;30;30;30;30;30
23;35;AGUA QUENTE;RA-XXXV;https://www.geoservicos.ide.df.gov.br/anexos/monografia/AGUA_QUENTE.pdf;95.121.341;0;0;;;;;;;11;11;11;11;11;11;11;11;11;11;11;0;11;11;11;11;11;11
;;;;;;;;;;;;;;5456;;;;;;;;;;;;;;;;;
